Family_AC,Family_ID,Description
RF02307,TtnuCD33,Tetrahymena snoRNA TtnuCD33
RF02308,TtnuCD34,Tetrahymena snoRNA TtnuCD34
RF02309,TtnuHACA1,Tetrahymena snoRNA TtnuHACA1
RF02310,TtnuHACA2,Tetrahymena snoRNA TtnuHACA2
RF02311,TtnuHACA3,Tetrahymena snoRNA TtnuHACA3
RF02312,TtnuHACA5,Tetrahymena snoRNA TtnuHACA5
RF02313,TtnuHACA6,Tetrahymena snoRNA TtnuHACA6
RF02314,TtnuHACA7,Tetrahymena snoRNA TtnuHACA7
RF02315,TtnuHACA8,Tetrahymena snoRNA TtnuHACA8
RF02316,TtnuHACA9,Tetrahymena snoRNA TtnuHACA9
RF02317,TtnuHACA10,Tetrahymena snoRNA TtnuHACA10
RF02318,TtnuHACA11a,Tetrahymena snoRNA TtnuHACA11a
RF02319,TtnuHACA12,Tetrahymena snoRNA TtnuHACA12
RF02320,TtnuHACA13,Tetrahymena snoRNA TtnuHACA13
RF02321,TtnuHACA14,Tetrahymena snoRNA TtnuHACA14
RF02322,TtnuHACA15,Tetrahymena snoRNA TtnuHACA15
RF02323,TtnuHACA16,Tetrahymena snoRNA TtnuHACA16
RF02324,TtnuHACA17,Tetrahymena snoRNA TtnuHACA17
RF02325,TtnuHACA18,Tetrahymena snoRNA TtnuHACA18
RF02326,TtnuHACA19,Tetrahymena snoRNA TtnuHACA19
RF02327,TtnuHACA20,Tetrahymena snoRNA TtnuHACA20
RF02328,TtnuHACA21,Tetrahymena snoRNA TtnuHACA21
RF02329,TtnuHACA22,Tetrahymena snoRNA TtnuHACA22
RF02330,TtnuHACA23,Tetrahymena snoRNA TtnuHACA23
RF02331,TtnuHACA24,Tetrahymena snoRNA TtnuHACA24
RF02332,TtnuHACA25,Tetrahymena snoRNA TtnuHACA25
RF02333,TtnuHACA27,Tetrahymena snoRNA TtnuHACA27
RF02334,TtnuHACA28,Tetrahymena snoRNA TtnuHACA28
RF02335,GlsR2_miR4,Giardia snoRNA GlsR2
RF02336,GlsR1_miR6,Giardia snoRNA GlsR1
RF02337,GlsR8_miR10,Giardia snoRNA GlsR8
RF02338,GlsR16_miR3,Giardia snoRNA GlsR16
RF02339,GlsR17_miR2,Giardia snoRNA GlsR17
RF02341,ncrMT1302,Mycobacterium sRNA ncrMT1302
RF02342,ar7,Alphaproteobacterial sRNA ar7
RF02343,ar9,Alphaproteobacterial sRNA ar9
RF02344,ar14,Alphaproteobacterial ar14
RF02345,ar15,Alphaproteobacterial ar15
RF02346,ar35,Alphaproteobacterial sRNA ar35
RF02347,ar45,Alphaproteobacterial sRNA ar45
RF02349,psRNA2,Proteobacterial sRNA psRNA2
RF02350,psRNA6,Nitrosomonas sRNA psRNA6
RF02351,psRNA14,Proteobacteria sRNA psRNA14
RF02353,BjrC68,Bradyrhizobiaceae sRNA BjrC68
RF02354,BjrC80,Bradyrhizobiaceae sRNA BjrC80
RF02355,BjrC174,Bradyrhizobiaceae sRNA BjrC174
RF02356,BjrC1505,Alphaproteobacterial sRNA BjrC1505
RF02357,RNaseP-T,RNaseP truncated form
RF02358,hsp17,Hsp17 thermometer
RF02360,Yfr8,Cyanobacterial functional RNA 8/9
RF02362,Yfr10,Cyanobacterial functional RNA 10
RF02363,Yfr11,Cyanobacterial functional RNA 11
RF02364,Yfr13,Cyanobacterial functional RNA 13
RF02365,Yfr17,Cyanobacterial functional RNA 17
RF02366,Yfr19,Cyanobacterial functional RNA 19
RF02367,Yfr20,Cyanobacterial functional RNA 20
RF02368,Yfr21,Cyanobacterial functional RNA 21
RF02369,h2cR,h2cR sRNA
RF02370,Trp_leader_2,Bacillus tryptophan operon leader
RF02371,PyrG_leader,PyrG leader
RF02372,PyrC_leader,PyrC leader
RF02373,PyrD_leader,PyrD leader
RF02374,YenS,Yersinia YenS sRNA
RF02375,Aar,Aar sRNA
RF02376,antisense_SR1,SR1 sRNA
RF02377,SurA,SurA sRNA
RF02378,SurC,SurC sRNA
RF02379,csRNA,Cia-dependent small RNA csRNA1
RF02384,FasX,FasX small RNA
RF02385,sau-13,Staphylococcus sRNA sau-13
RF02386,sau-19,Staphylococcus sRNA sau-19
RF02387,sau-27,Staphylococcus sRNA sau-27
RF02388,sau-30,Staphylococcus sRNA sau-30
RF02389,sau-31,Staphylococcus sRNA sau-31
RF02390,sau-41,Staphylococcus sRNA sau-41
RF02392,sau-53,Staphylococcus sRNA sau-53
RF02393,sau-59,Staphylococcus sRNA sau-59
RF02394,sau-63,Staphylococcus sRNA sau-63
RF02395,sau-66,Staphylococcus sRNA sau-66
RF02396,sau-5949,Staphylococcus sRNA sau-5949
RF02397,sau-5971,Staphylococcus sRNA sau-5971
RF02398,sau-6072,Staphylococcus sRNA sau-6072
RF02399,NsiR1,Nitrogen stress-induced RNA 1
RF02400,Hsp83_3_UTR,Heat shock protein 83 3' UTR
RF02401,ClpQY_promoter,ClpQY promoter
RF02402,Afu_263,A. fumigatus snoRNA Afu_263
RF02403,Afu_328,A. fumigatus snoRNA Afu_328
RF02404,P33,Pseudomonas sRNA P33
RF02405,P34,Pseudomonas sRNA P34
RF02406,snoR120,Small nucleolar RNA snoR120
RF02407,snoR122,Small nucleolar RNA snoR122
RF02408,snoR124,Small nucleolar RNA snoR124
RF02409,snoR125,Small nucleolar RNA snoR125
RF02410,snoR136,Small nucleolar RNA snoR136
RF02411,snoR138,Small nucleolar RNA snoR138
RF02412,snoR144,Small nucleolar RNA snoR144
RF02413,snoR145,Small nucleolar RNA snoR145
RF02414,rli60,Listeria sRNA rli60
RF02415,rliG,Listeria sRNA rliG
RF02416,TCV_H4,Turnip crinkle virus 3'UTR
RF02417,VR-RNA,VR-RNA
RF02418,Spd-sr07,Streptococcus sRNA Spd-sr07
RF02419,Spd-sr37,Streptococcus sRNA Spd-sr37
RF02420,Bp1_162,Burkholderia sRNA Bp1_Cand612_SIPHT
RF02421,Bp1_684,Burkholderia sRNA Bp1_Cand684_SIPHT
RF02422,Bp1_738,Burkholderia sRNA Bp1_Cand738_SIPHT
RF02423,Bp1_781,Burkholderia sRNA Bp1_Cand871_SIPHT
RF02424,Bp2_287,Burkholderia sRNA Bp2_Cand287_SIPHT
RF02425,SpF01_sRNA,Streptococcus sRNA SpF01
RF02426,SpF03_sRNA,Streptococcus sRNA SpF03
RF02427,SpF10_sRNA,Streptococcus sRNA SpF10
RF02428,SpF11_sRNA,Streptococcus sRNA SpF11
RF02429,SpF14_sRNA,Streptococcus sRNA SpF14
RF02430,SpF19_sRNA,Streptococcus sRNA SpF19
RF02431,SpF22_sRNA,Streptococcus sRNA SpF22
RF02432,SpF25_sRNA,Streptococcus sRNA SpF25
RF02433,SpF36_sRNA,Streptococcus sRNA SpF36
RF02434,SpF39_sRNA,Streptococcus sRNA SpF39
RF02435,SpF41_sRNA,Streptococcus sRNA SpF41
RF02436,SpF43_sRNA,Streptococcus sRNA SpF43
RF02437,SpF44_sRNA,Streptococcus sRNA SpF44
RF02438,SpF51_sRNA,Streptococcus sRNA SpF51
RF02439,SpF56_sRNA,Streptococcus sRNA SpF56
RF02440,SpF59_sRNA,Streptococcus sRNA SpF59 (ldcC RNA)
RF02441,SpF61_sRNA,Streptococcus sRNA SpF61
RF02442,SpF66_sRNA,Streptococcus sRNA SpF66
RF02443,SpR08_sRNA,Streptococcus sRNA SpR08
RF02444,SpR10_sRNA,Streptococcus sRNA SpR10
RF02445,SpR14_sRNA,Streptococcus sRNA SpR14
RF02446,SpR18_sRNA,Streptococcus sRNA SpR18
RF02447,SpR19_sRNA,Streptococcus sRNA SpR19
RF02448,SpR20_sRNA,Streptococcus sRNA SpR20
RF02449,ncr1015,Bacillus sRNA ncr1015
RF02450,ncr1175,Bacillus sRNA ncr1175
RF02451,ncr1241,Bacillus sRNA ncr1241
RF02452,ncr1575,Bacillus sRNA ncr1575
RF02453,ncr952,Bacillus sRNA ncr952
RF02454,ncr982,Bacillus sRNA ncr982
RF02455,Virus_CITE_1,Dianthovirus RNA2 cap-independent translation element
RF02456,Diantho_3_UTR,Dianthovirus RNA2 3'UTR stem loops
RF02457,Virus_CITE_2,Tombusvirus 3' cap-independent translation element
RF02458,Virus_CITE_3,Aureusvirus cap-independent translation element
RF02459,Virus_CITE_4,Necrovirus cap-independent translation element
RF02460,Virus_CITE_5,Satellite tobacco necrosis virus cap-independent translation element
RF02461,Virus_CITE_6,Blackcurrant reversion virus cap-independent translation element
RF02462,Telomerase_Asco,Ascomycota telomerase RNA
RF02463,Ms_AS-1,Mycobacterium sRNA Ms_AS-1
RF02464,Ms_AS-4,Actinobacteria sRNA Ms_AS-4
RF02465,Ms_AS-5,Mycobacterium sRNA Ms_AS-5
RF02466,Ms_AS-8,Actinobacteria sRNA Ms_AS-8
RF02467,Ms_IGR-2,Mycobacterium sRNA Ms_IGR-2
RF02468,Ms_IGR-4,Mycobacterium sRNA Ms_IGR-4
RF02469,Ms_IGR-7,Actinobacteria sRNA Ms_IGR-7
RF02470,Ms_IGR-8,Mycobacterium sRNA Ms_IGR-8
RF02471,Ms_IGR-5,Actinobacteria sRNA Ms_IGR-5
RF02472,Gl_RNase_MRP,Giardia RNase MRP
RF02473,GlsR4,Small nucleolar RNA GlsR4
RF02474,GlsR5,Small nucleolar RNA GlsR5
RF02475,GlsR6,Small nucleolar RNA GlsR6
RF02476,GlsR7,Small nucleolar RNA GlsR7
RF02477,GlsR9,Small nucleolar RNA GlsR9
RF02478,GlsR10,Small nucleolar RNA GlsR10
RF02479,GlsR13,Small nucleolar RNA GlsR13
RF02480,GlsR14,Small nucleolar RNA GlsR14
RF02481,GlsR18,Small nucleolar RNA GlsR18
RF02482,GlsR19,Small nucleolar RNA GlsR19
RF02483,GlsR20,Small nucleolar RNA GlsR20
RF02484,GlsR21,Small nucleolar RNA GlsR21
RF02485,GlsR22,Small nucleolar RNA GlsR22
RF02486,GlsR23,Small nucleolar RNA GlsR23
RF02487,GlsR24,Small nucleolar RNA GlsR24
RF02488,GlsR25,Small nucleolar RNA GlsR25
RF02489,GlsR26,Small nucleolar RNA GlsR26
RF02490,GlsR27,Small nucleolar RNA GlsR27
RF02491,Gl_U1,Giardia U1 spliceosomal RNA
RF02492,Gl_U2,Giardia U2 spliceosomal RNA
RF02493,Gl_U4,Giardia U4 spliceosomal RNA
RF02494,Gl_U6,Giardia U6 spliceosomal RNA
RF02495,ohsC_RNA,Oppression of Hydrophobic ORF by sRNA
RF02496,Atu_At1,Rhizobiales sRNA Atu_At1
RF02497,Atu_C10,Rhizobiales sRNA Atu_C10
RF02498,Atu_C3,Rhizobiales sRNA Atu_C3
RF02499,Atu_C4,Rhizobiales sRNA Atu_C4
RF02500,Atu_C6,EcpR1
RF02501,Atu_C7,Rhizobiales sRNA Atu_C7
RF02502,Atu_C8,Rhizobiales sRNA Atu_C8
RF02503,Atu_C9,Rhizobiales sRNA Atu_C9
RF02504,Atu_L1,Rhizobiales sRNA Atu_L1
RF02505,Atu_L6,Rhizobiales sRNA Atu_L6
RF02506,Atu_Ti1,Rhizobiales sRNA Atu_Ti1
RF02507,Atu_Ti3,Rhizobiales sRNA Atu_Ti3
RF02508,Atu_Ti4,Rhizobiales sRNA Atu_Ti4
RF02509,PYLIS_2,Pyrrolysine insertion sequence mtbB
RF02510,PYLIS_3,Pyrrolysine insertion sequence mttB
RF02511,PYLIS_4,Pyrrolysine insertion sequence TetR
RF02512,PYLIS_5,Pyrrolysine insertion sequence transposase 1
RF02513,PYLIS_6,Pyrrolysine insertion sequence transposase 2
RF02514,5_ureB_sRNA,5' ureB small RNA
RF02515,AfaR,AfaR small RNA
RF02516,mir-393,mir-393 microRNA precursor family
RF02517,mir-1017,mir-1017 microRNA precursor family
RF02518,mir-2494,mir-2494 microRNA precursor family
RF02520,mir-965,mir-965 microRNA precursor family
RF02522,Virus_CITE_8,Pea enation mosaic virus-2 cap-independent translation element
RF02523,ROSE_3,Repression of heat shock gene expression (ROSE) element
RF02524,sagA,Streptococcus sRNA sagA
RF02525,SSRC30,Streptococcus sRNA SSRC30
RF02526,SSRC34_1,Streptococcus sRNA SSRC34
RF02527,SSRC38,Streptococcus sRNA SSRC38
RF02528,SSRC41,Streptococcus sRNA SSRC41
RF02529,SSRC8_1,Streptococcus sRNA SSRC8
RF02530,URE2_IRES,Ure2 internal ribosome entry site (IRES)
RF02531,NRF2_IRES,Nrf2 internal ribosome entry site (IRES)
RF02532,MNV_3UTR,Murine norovirus 3'UTR
RF02533,HAV_CRE,Hepatitis A virus (HAV) cis-acting replication element (CRE)
RF02534,Noro_CRE,Norovirus cis-acting replication element (CRE)
RF02535,ODC_IRES,ODC internal ribosome entry site (IRES)
RF02536,AEV_CRE,Avian encephalitis virus (AEV) cis-acting replication element (CRE)
RF02537,TarA,Vibrio ToxT activated RNA TarA
RF02538,TarB,Vibrio ToxT activated RNA TarB
RF02539,SNOR75,Plant small nucleolar RNA SNOR75
RF02544,mt-tmRNA,Mitochondrion-encoded tmRNA
RF02547,mtPerm-5S,Permuted mitochondrial genome encoded 5S rRNA
RF02548,Oskar_OES,Oocyte entry signal (OES) from oskar mRNA
RF02550,RnaG,RnaG sRNA
RF02551,DapZ,ABC transporter regulator
RF02552,RcsR1,RcsR1 sRNA
RF02554,ppoRNA,mt-5S-like P. polycephalum
RF02555,hveRNA,mt-5S-like H. vermiformis
RF02556,snaR-A,snaR-A sRNA
RF02557,CbSR1,Coxiella burnetii sRNA 1
RF02558,CbSR2,Coxiella burnetii sRNA 2
RF02559,CbSR4,Coxiella burnetii sRNA 4
RF02560,CbSR9,Coxiella burnetii sRNA 9
RF02561,CbSR12,Coxiella burnetii sRNA 12
RF02562,CbSR14,Coxiella burnetii sRNA 14
RF02563,CbSR3,Coxiella burnetii sRNA 3
RF02564,naRNA4,Nucleoid-associated noncoding RNA 4 (CssrE)
RF02565,YrlB,Y RNA-like
RF02566,Ms1,Mycobacterium smegmatis small RNA 1
RF02567,Va-907,Vibrio alginolyticus sRNA 907
RF02568,UptR,Escherichia coli small RNA (uptR) gene
RF02569,IhtA,IhtA sRNA
RF02570,BM-sr0117,Brucella melitensis small RNA 0117
RF02571,Mcr7,mcr7 sRNA
RF02572,babR_5UTR,Brucella babR 5'UTR
RF02573,LLnc147,Lactococcus lactis non-coding RNA 147
RF02574,Ricks_sRNA10,Rickettsia sRNA 10
RF02575,DM_SisR1,Drosophila melanogaster stable intronic sequence RNA 1
RF02576,tsr1,tsr1 small RNA
RF02577,tsr24,S. aureus tsr24 small RNA
RF02578,tsr25,S. aureus tsr25 small RNA
RF02579,tsr26,S. aureus tsr26 small RNA
RF02580,tsr31,S. aureus tsr31 small RNA
RF02581,tsr32,S. aureus tsr32 small RNA
RF02582,tsr33,S. aureus tsr33 small RNA
RF02583,Teg23,S. aureus Teg23 small RNA
RF02584,KRAS_3UTR,KRAS 3' UTR cis-regulatory element
RF02589,Spy779816,S. pyogenes small RNA 779816
RF02590,Spy1186876,S. pyogenes small RNA 1186876
RF02591,Spy1786666,S. pyogenes small RNA 1786666
RF02592,Spy392987,S. pyogenes antisense RNA 392987
RF02593,NsiR8,Nitrogen stress-induced RNA 8
RF02594,NsiR9,Nitrogen stress-induced RNA 9
RF02595,EBv-sisRNA-1,Epstein-Barr virus stable intronic sequence RNA 1
RF02596,cyano_het_sRNA,Cyanobacteria heterocyst sRNA
RF02597,shuA_thermo,shuA/chuA 5' UTR thermoregulator
RF02598,EBv-sisRNA-2,Epstein-Barr virus stable intronic sequence RNA 2
RF02599,BASRCI408,Brucella sRNA CI408
RF02600,BASRCI27,Brucella sRNA CI27
RF02601,BASRCI337,Brucella sRNA CI337
RF02602,BASRCI414,Brucella sRNA CI414
RF02603,BASRCII26,Brucella sRNA CII26
RF02604,BASRCI153,Brucella sRNA CI153
RF02605,scr5239,Streptomyces sRNA scr5239
RF02606,AbsR28,Acinetobacter sRNA 28
RF02607,AbsR25,Acinetobacter sRNA 25
RF02608,AbsR11,Acinetobacter sRNA 11
RF02609,BSR0602,Brucella sRNA 0602
RF02610,BSR0709,Brucella sRNA 0709
RF02611,BSR0653,Brucella sRNA 0653
RF02612,BSR1350,Brucella sRNA 1350
RF02613,BSR0739,Brucella sRNA 0739
RF02614,BSR1073,Brucella sRNA 1073
RF02615,BSR0626,Brucella sRNA 0626
RF02616,SSRC8_2,Streptococcus sRNA 8
RF02617,SSRC10,Streptococcus sRNA 10
RF02618,SSRC34_2,Streptococcus sRNA 34
RF02619,BSnc115,Brucella sRNA 115
RF02620,BSnc119,Brucella sRNA 119
RF02621,BSnc120,Brucella sRNA 120
RF02622,BSnc121,Brucella sRNA 121
RF02623,BSnc140,Brucella sRNA 140
RF02624,BSnc150,Brucella sRNA 150
RF02625,WsnRNA46,Wolbachia sRNA 46
RF02626,WsnRNA59,Wolbachia sRNA 59
RF02627,Ssr1,Shigella small RNA 1
RF02628,Hrs1,Hfq-regulated sRNA 1
RF02629,RmaA,Regulator of motility and amylovoran A
RF02630,Hrs12,Hfq-regulated sRNA 12
RF02631,Hrs13,Hfq-regulated sRNA 13
RF02632,Hrs10,Hfq-regulated sRNA 10
RF02633,Hrs21,Hfq-regulated sRNA 21
RF02634,EF3314_EF3315,Enterococcus sRNA EF3314_EF3315
RF02635,EF0820_EF0821,Enterococcus sRNA EF0820_EF0821
RF02636,EF1368_EF1369,Enterococcus sRNA EF1368_EF1369
RF02637,EF0408_EF0409,Enterococcus sRNA EF0408_EF0409
RF02638,EF0605_EF0606,Enterococcus sRNA EF0605_EF0606
RF02639,EF0869_EF0870,Enterococcus sRNA EF0869_EF0870
RF02640,MOSES4,S. pyogenes small RNA MOSES4
RF02641,Spy490483c,S. pyogenes small RNA Spy490483c
RF02642,Spy491311c,S. pyogenes small RNA Spy491311c
RF02643,Spy491738,S. pyogenes small RNA Spy491738
RF02644,Spy490380c,S. pyogenes small RNA Spy490380c
RF02645,Cis2_sRNA,Ruegeria cis2 sRNA
RF02646,Cis8_sRNA,Ruegeria cis8 sRNA
RF02647,Cis52_sRNA,Ruegeria cis52 sRNA
RF02648,Cis90_sRNA,Ruegeria cis90 sRNA
RF02649,Trans44_sRNA,Ruegeria trans44 sRNA
RF02650,CncR1,Cag non-coding RNA1
RF02651,SorY,Singlet oxygen resistance RNA Y
RF02652,StyR-3,Salmonella enterica Typhi npcRNA 3
RF02653,StyR-143,Salmonella enterica Typhi npcRNA 143
RF02654,MicL,MicL sRNA
RF02655,BSR0441,Brucella BSR0441 sRNA
RF02656,sot0042,Sense overlapping transcript RNA 0042 (sot)
RF02657,sot2652,Sense overlapping transcript RNA 2652 (sot)
RF02658,IRES_RhPV,Rhopalosiphum padi virus 5'UTR internal ribosome entry site
RF02659,ncRv12659,ncRv12659 sRNA
RF02660,icaR_3p_UTR,icaR 3'UTR
RF02661,icaR_5p_UTR,icaR 5' UTR
RF02662,BLi_r0872,Bacillus asRNA 0872
RF02663,GmglnB1_5p_UTR,GmglnB1 5'UTR
RF02664,IRES_cyp24a1,Cyp24a1 internal ribosome entry site (IRES)
RF02665,PsiU1-6,Drosophila small cajal body-specific RNA PsiU1-6
RF02666,PsiU2-35.45,Drosophila small cajal body-specific RNA PsiU2-35.45
RF02667,PsiU2-38.40.42,Drosophila small cajal body-specific RNA PsiU2-38.40.4
RF02668,PsiU2-55,Drosophila small cajal body-specific RNA PsiU2-55
RF02669,PsiU6-40,Drosophila small cajal body-specific RNA PsiU6-40
RF02670,scaDm46E3,small Cajal body-specific RNA Dm46E3
RF02671,Ysr35,Yersinia sRNA 35
RF02672,SprX,Small pathogenicity island RNA X
RF02673,scr4677,Streptomyces sRNA 4677
RF02674,AsdA,antisense RNA of dnaA mRNA
RF02675,Ysr141,Yersinia sRNA 141
RF02676,Esr41,Enterohemorrhagic E. coli sRNA 41
RF02677,NsiR4,Nitrogen stress-induced RNA 4
RF02682,HDV-F-prausnitzii,HDV ribozyme from F. prausnitzii
RF02684,Twister-P5,Type-P5 twister ribozyme
RF02685,RAGATH-5,RAGATH-5 RNA
RF02686,RAGATH-6,RAGATH-6 RNA
RF02687,RAGATH-8,RAGATH-8 RNA
RF02688,RAGATH-13,RAGATH-13 RNA
RF02689,hilD_3p_UTR,hilD 3'UTR
RF02690,BTH_s1,Burkholderia sRNA 1
RF02691,BTH_s19,Burkholderia sRNA 19
RF02692,BTH_s39,Burkholderia sRNA 39
RF02693,psm_mec_RNA,psm_mec locus RNA
RF02694,RalA,RalR antitoxin
RF02695,NrsZ,Nitrogen regulated small RNA
RF02696,Teg49,Teg49 sRNA
RF02697,LDH1_5p_UTR,LDH1 5'UTR
RF02698,Avalong_thermometer,Avalong 5' UTR thermometer
RF02699,Avashort_thermometer,Avashort 5' UTR thermometer
RF02700,HtrA_thermometer,HtrA 5' UTR thermometer
RF02701,PsrR1,Photosynthesis regulatory RNA1
RF02702,AgvB,Anti GcvB sRNA
RF02703,AsxR,Anti stx2 sRNA
RF02704,LcrF_thermometer,LcrF intergenic thermometer
RF02705,B_rapa_snoR775,Brassica rapa small nucleolar RNA 775
RF02706,TeloSII_ncR30,TeloSII non coding RNA 30
RF02707,TeloSII_ncR33,TeloSII non coding RNA 33
RF02708,TeloSII_ncR40,TeloSII non coding RNA 40
RF02709,TeloSII_ncR43,TeloSII non coding RNA 43
RF02710,TeloSII_ncR45,TeloSII non coding RNA 45
RF02711,TeloSII_ncR49,TeloSII non coding RNA 49
RF02712,EBER2,Epstein-Barr virus EBER2
RF02713,MCS4,Mycoplasma sRNA MCS4
RF02714,snopsi28S-3378,Small nucleolar RNA psi28S-3378
RF02715,sno_ncR1,Small nucleolar RNA ncR1
RF02716,sno_ncR3,Small nucleolar RNA ncR3
RF02717,sno_ncR4,Small nucleolar RNA ncR4
RF02718,sca_ncR14,Small Cajal body specific RNA ncR14
RF02719,sca_ncR20,Small Cajal body specific RNA ncR20
RF02720,sca_ncR21,Small Cajal body specific RNA ncR21
RF02721,sca_ncR26,Small Cajal body specific RNA ncR26
RF02722,sca_ncR27,Small Cajal body specific RNA ncR27
RF02723,sno_ZL1,Small nucleolar RNA ZL1
RF02724,sno_ZL2,Small nucleolar RNA ZL2
RF02725,sno_ZL8,Small nucleolar RNA ZL8
RF02726,sno_ZL63,Small nucleolar RNA ZL63
RF02727,sno_ZL116,Small nucleolar RNA ZL116
RF02728,HrrF,Haemophilus regulatory RNA responsive to iron
RF02729,JA01,Aggregatibacter sRNA JA01
RF02730,JA02,Aggregatibacter sRNA JA02
RF02731,JA03,Aggregatibacter sRNA JA03
RF02732,JA04,Aggregatibacter sRNA JA04
RF02733,ToxT_thermometer,ToxT 5' UTR thermometer
RF02734,Cgb105,Corynebacterium sRNA 105
RF02735,Sernc350,Saccharopolyspora sRNA 350
RF02736,Rev11,Soft rot Enterobacteriaceae Rev 11 asRNA
RF02737,Rev13,Soft rot Enterobacteriaceae Rev 13 asRNA
RF02738,Rev24,Soft rot Enterobacteriaceae Rev 24 asRNA
RF02739,Rev41,Soft rot Enterobacteriaceae Rev 41 sRNA
RF02740,Fwd6_3p_UTR,Soft rot Enterobacteriaceae Fwd 6 3'UTR
RF02741,Rev44,Soft rot Enterobacteriaceae Rev 44 asRNA
RF02742,Rev72,Soft rot Enterobacteriaceae Rev 72 asRNA
RF02743,Sernc389,Saccharopolyspora sRNA 389
RF02744,Rev39_5p_UTR,Soft rot Enterobacteriaceae Rev 39 5'UTR
RF02745,Rev42_5p_UTR,Soft rot Enterobacteriaceae Rev 42 5'UTR
RF02746,AsrC,antisense RNA of rseC mRNA
RF02747,FtrA,Francisella sRNA A
RF02748,FtrB,Francisella sRNA B
RF02749,Ncrwmel02,Wolbachia sRNA mel02
RF02750,ES003,ES003 sRNA
RF02751,ES036,ES036 (CssrF) sRNA
RF02752,ES056,ES056 sRNA
RF02753,ES173,ES173 sRNA
RF02754,ES205,ES205 sRNA
RF02755,ES222,ES222 sRNA
RF02756,ES239,ES239 sRNA
RF02757,Erse,Erse small RNA
RF02758,RhlA_thermometer,RhlA 5' UTR ROSE like thermometer
RF02759,LasI_thermometer,LasI 5' UTR ROSE like thermometer
RF02760,sR035,sR035 sRNA
RF02761,sR084,sR084 sRNA
RF02762,C1_109596F_thermometer,C1_109596F 5' UTR thermometer
RF02763,IsrM,IsrM sRNA
RF02764,Ysr190,Yersinia sRNA 190
RF02765,Ysr209,Yersinia sRNA 209
RF02766,Ysr49,Yersinia sRNA 49
RF02767,Ysr186_sR026_CsrC,Yersinia sRNA 186/sR026/CsrC
RF02768,Ysr155_RyfD,Yersinia sRNA 155(RyfD)
RF02769,Ysr202,Yersinia sRNA 202
RF02770,Ysr224,Yersinia sRNA 224
RF02771,CnfY_thermometer,CnfY 5' UTR thermometer
RF02772,AilA_thermometer,AilA 5' UTR thermometer
RF02773,TrxA_thermometer,TrxA 5' UTR thermometer
RF02774,KatA_thermometer,KatA 5' UTR thermometer
RF02775,SodB_thermometer,SodB 5' UTR thermometer
RF02776,SodC_thermometer,SodC 5' UTR thermometer
RF02777,OppA_thermometer,OppA 5' UTR thermometer
RF02778,FdoG1_thermometer,FdoG-1 5' UTR thermometer
RF02779,PepN_thermometer,PepN 5' UTR thermometer
RF02780,PutA_thermometer,PutA 5' UTR thermometer
RF02781,ManX_thermometer,ManX 5' UTR thermometer
RF02782,CpoB_ybgF_thermometer,CpoB/ybgF ICR thermometer
RF02783,IscS1_thermometer,IscS-1 ICR thermometer
RF02784,SorX,Singlet oxygen resistance RNA X
RF02785,snoRNA2,Trypanosomatid small nucleolar RNA 2
RF02786,snoTBR2,Small nucleolar RNA TBR2
RF02787,snoTBR4,Small nucleolar RNA TBR4
RF02788,snoTBR6,Small nucleolar RNA TBR6
RF02789,snoTBR12,Small nucleolar RNA TBR12
RF02790,sodF_sRNA,sodF sRNA
RF02791,CcsR1,Conserved CCUCCUCCC motif stress-induced RNA 1
RF02792,sRNA162,Archaeal Small RNA 162
RF02793,asR3,Pyrobaculum asRNA3
RF02794,Pab19,Pab19 RNA
RF02795,Pab91,Pab91 RNA
RF02797,PssrA,Plasmid-encoded Shigella sRNA A
RF02798,CssrA,Chromosome-encoded Shigella sRNA A
RF02799,CssrB,Chromosome-encoded Shigella sRNA B
RF02800,Rp_sR47,Rickettsia sRNA47
RF02801,PyrR201,Pyrobaculum sRNA 201
RF02802,PyrR204,Pyrobaculum sRNA 204
RF02803,PyrR205,Pyrobaculum sRNA 205
RF02804,PyrR206,Pyrobaculum sRNA 206
RF02805,PyrR207,Pyrobaculum sRNA 207
RF02806,PyrR208,Pyrobaculum sRNA 208
RF02807,PyrR209,Pyrobaculum sRNA 209
RF02808,PyrR210,Pyrobaculum sRNA 210
RF02809,RsmW,RsmW RNA family
RF02810,Lst_thermometer,Lst 5' UTR thermometer
RF02811,FHbp_thermometer,FHbp 5' UTR thermometer
RF02812,asponA,anti ponA RNA
RF02813,PA5194_thermometer,Pseudomonas PA5194 thermometer
RF02814,Sso133,Sulfolobus sRNA133
RF02815,Lig_thermometer,Lig 5' UTR thermometer
RF02816,HBV_PRE_1151-1410,Hepatitis B virus post-transcriptional regulatory element 1151-1410
RF02818,V_AS5,Vibrio RNA AS5
RF02819,V_AS7,Vibrio RNA AS7
RF02820,V_AS9,Vibrio RNA AS9
RF02821,V_IGR5,Vibrio RNA IGR5
RF02822,Srn266,Streptococcus RNA 266
RF02823,LPR69,Legionella RNA 69
RF02824,LPR10,Legionella RNA 10
RF02825,LPR17,Legionella RNA 17
RF02826,Scr6925,Streptomyces RNA 6925
RF02827,Scr6106,Streptomyces RNA 6106
RF02828,Scr3920,Streptomyces RNA 3920
RF02829,Scr4115,Streptomyces RNA 4115
RF02830,Scr1601,Streptomyces RNA 1601
RF02831,Scr2736,Streptomyces RNA 2736
